SUBTYPE	CODE	DISPLAY	COMMENT
self_harm	T41.292A	Poisoning by oth general anesthetics, self-harm, init	
self_harm	T41.292D	Poisoning by oth general anesthetics, self-harm, subs	
self_harm	T41.292S	Poisoning by oth general anesthetics, self-harm, sequela	
self_harm	T41.3X2	Poisoning by local anesthetics, intentional self-harm	
self_harm	T41.3X2A	Poisoning by local anesthetics, intentional self-harm, init	
self_harm	T41.3X2D	Poisoning by local anesthetics, intentional self-harm, subs	
self_harm	T41.3X2S	Poisoning by local anesthetics, self-harm, sequela	
self_harm	T41.42XA	Poisoning by unsp anesthetic, intentional self-harm, init	
self_harm	T41.42XD	Poisoning by unsp anesthetic, intentional self-harm, subs	
self_harm	T41.42XS	Poisoning by unsp anesthetic, intentional self-harm, sequela	
self_harm	T41.5X2	Poisoning by therapeutic gases, intentional self-harm	
self_harm	T41.5X2A	Poisoning by therapeutic gases, intentional self-harm, init	
self_harm	T41.5X2D	Poisoning by therapeutic gases, intentional self-harm, subs	
self_harm	T41.5X2S	Poisoning by therapeutic gases, self-harm, sequela	
self_harm	T42.0X2	Poisoning by hydantoin derivatives, intentional self-harm	
self_harm	T42.0X2A	Poisoning by hydantoin derivatives, self-harm, init	
self_harm	T42.0X2D	Poisoning by hydantoin derivatives, self-harm, subs	
self_harm	T42.0X2S	Poisoning by hydantoin derivatives, self-harm, sequela	
self_harm	T42.1X2	Poisoning by iminostilbenes, intentional self-harm	
self_harm	T42.1X2A	Poisoning by iminostilbenes, intentional self-harm, init	
self_harm	T42.1X2D	Poisoning by iminostilbenes, intentional self-harm, subs	
self_harm	T42.1X2S	Poisoning by iminostilbenes, intentional self-harm, sequela	
self_harm	T42.2X2	Poisoning by succinimides and oxazolidinediones, self-harm	
self_harm	T42.2X2A	Poisn by succinimides and oxazolidinediones, self-harm, init	
self_harm	T42.2X2D	Poisn by succinimides and oxazolidinediones, self-harm, subs	
self_harm	T42.2X2S	Poisn by succinimides and oxazolidinediones, slf-hrm, sqla	
self_harm	T42.3X2	Poisoning by barbiturates, intentional self-harm	
self_harm	T42.3X2A	Poisoning by barbiturates, intentional self-harm, init	
self_harm	T42.3X2D	Poisoning by barbiturates, intentional self-harm, subs	
self_harm	T42.3X2S	Poisoning by barbiturates, intentional self-harm, sequela	
self_harm	T42.4X2	Poisoning by benzodiazepines, intentional self-harm	
self_harm	T42.4X2A	Poisoning by benzodiazepines, intentional self-harm, init	
self_harm	T42.4X2D	Poisoning by benzodiazepines, intentional self-harm, subs	
self_harm	T42.4X2S	Poisoning by benzodiazepines, intentional self-harm, sequela	
self_harm	T42.5X2	Poisoning by mixed antiepileptics, intentional self-harm	
self_harm	T42.5X2A	Poisoning by mixed antiepileptics, self-harm, init	
self_harm	T42.5X2D	Poisoning by mixed antiepileptics, self-harm, subs	
self_harm	T42.5X2S	Poisoning by mixed antiepileptics, self-harm, sequela	
self_harm	T42.6X2	Poisoning by oth antieplptc and sed-hypntc drugs, self-harm	
self_harm	T42.6X2A	Poisn by oth antieplptc and sed-hypntc drugs, slf-hrm, init	
self_harm	T42.6X2D	Poisn by oth antieplptc and sed-hypntc drugs, slf-hrm, subs	
self_harm	T42.6X2S	Poisn by oth antieplptc and sed-hypntc drugs, slf-hrm, sqla	
self_harm	T42.72XA	Poisn by unsp antieplptc and sed-hypntc drugs, slf-hrm, init	
self_harm	T42.72XD	Poisn by unsp antieplptc and sed-hypntc drugs, slf-hrm, subs	
self_harm	T42.72XS	Poisn by unsp antieplptc and sed-hypntc drugs, slf-hrm, sqla	
self_harm	T42.8X2	Poisoning by antiparkns drug/centr musc-tone depr, self-harm	
self_harm	T42.8X2A	Poisn by antiparkns drug/centr musc-tone depr, slf-hrm, init	
self_harm	T42.8X2D	Poisn by antiparkns drug/centr musc-tone depr, slf-hrm, subs	
self_harm	T42.8X2S	Poisn by antiparkns drug/centr musc-tone depr, slf-hrm, sqla	
self_harm	T43.012	Poisoning by tricyclic antidepressants, self-harm	
self_harm	T43.012A	Poisoning by tricyclic antidepressants, self-harm, init	
self_harm	T43.012D	Poisoning by tricyclic antidepressants, self-harm, subs	
self_harm	T43.012S	Poisoning by tricyclic antidepressants, self-harm, sequela	
self_harm	T43.022	Poisoning by tetracyclic antidepressants, self-harm	
self_harm	T43.022A	Poisoning by tetracyclic antidepressants, self-harm, init	
self_harm	T43.022D	Poisoning by tetracyclic antidepressants, self-harm, subs	
self_harm	T43.022S	Poisoning by tetracyclic antidepressants, self-harm, sequela	
self_harm	T43.1X2	Poisoning by MAO inhib antidepressants, self-harm	
self_harm	T43.1X2A	Poisoning by MAO inhib antidepressants, self-harm, init	
self_harm	T43.1X2D	Poisoning by MAO inhib antidepressants, self-harm, subs	
self_harm	T43.1X2S	Poisoning by MAO inhib antidepressants, self-harm, sequela	
self_harm	T43.202	Poisoning by unsp antidepressants, intentional self-harm	
self_harm	T43.202A	Poisoning by unsp antidepressants, self-harm, init	
self_harm	T43.202D	Poisoning by unsp antidepressants, self-harm, subs	
self_harm	T43.202S	Poisoning by unsp antidepressants, self-harm, sequela	
self_harm	T43.212	Poisn by slctv seroton/norepineph reup inhibtr, self-harm	
self_harm	T43.212A	Poisn by slctv seroton/norepineph reup inhibtr,slf-hrm, init	
self_harm	T43.212D	Poisn by slctv seroton/norepineph reup inhibtr,slf-hrm, subs	
self_harm	T43.212S	Poisn by slctv seroton/norepineph reup inhibtr,slf-hrm, sqla	
self_harm	T43.222	Poisoning by selective serotonin reuptake inhibtr, self-harm	
self_harm	T43.222A	Poisn by slctv serotonin reuptake inhibtr, self-harm, init	
self_harm	T43.222D	Poisn by slctv serotonin reuptake inhibtr, self-harm, subs	
self_harm	T43.222S	Poisn by slctv serotonin reuptake inhibtr, slf-hrm, sequela	
self_harm	T43.292	Poisoning by other antidepressants, intentional self-harm	
self_harm	T43.292A	Poisoning by oth antidepressants, self-harm, init	
self_harm	T43.292D	Poisoning by oth antidepressants, self-harm, subs	
self_harm	T43.292S	Poisoning by oth antidepressants, self-harm, sequela	
